Page Title,Page URL,Source Type,Section Type,Text Content
Log in to MOSDAC Single Sign ON,https://www.mosdac.gov.in/internal/uops,General,P,"मॉस्डैक, अंतरिक्ष उपयोग केंद्र, इसरो, भारत सरकार द्वारा निर्मित और संचालित"
Log in to MOSDAC Single Sign ON,https://www.mosdac.gov.in/internal/uops,General,P,"Owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
