Page Title,Page URL,Source Type,Section Type,Text Content
INSAT3R Intense Heavy Rain Over India,https://www.mosdac.gov.in/internal/event-heavyrain,General,P,"©Space Applications Centre, ISRO      Developed & Maintained By: DWD/SAC"
INSAT3R Intense Heavy Rain Over India,https://www.mosdac.gov.in/internal/event-heavyrain,General,P,"Credits for following information/layers/data used in this website is dually acknowledged* OpenStreetMap: @OpenStreetMap Contributors (www.openstreetmap.org/copyright)* True Marble: Unearthed Outdoors, LLC* India River Basins/ State/ District Boundaries and World Coastlines : India Meteorological Department, Delhi (www.imd.gov.in)* INSAT 3D Algorithm : AOSG/SAC"
