Page Title,Page URL,Source Type,Section Type,Text Content
MOSDAC SSO Logout,https://www.mosdac.gov.in/internal/logout,General,P,"मॉस्डैक, अंतरिक्ष उपयोग केंद्र, इसरो, भारत सरकार द्वारा निर्मित और संचालित"
MOSDAC SSO Logout,https://www.mosdac.gov.in/internal/logout,General,P,"Owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
